0,1,2,3,4,5,6
1307.065,87.347389,74.903099,70.44693,105.949707,83.351936,68.580162
1315.493,87.615425,75.046257,70.526649,106.306702,83.540939,68.624458
1323.919,87.758514,75.174202,70.574181,106.62619,83.764702,68.672569
1332.347,87.896248,75.242027,70.664948,106.940742,83.908081,68.714569
1340.775,87.975517,75.306252,70.849739,107.181381,84.143295,68.838066
1349.202,88.004234,75.403877,70.779633,107.353325,84.306328,68.869659
1357.629,88.064484,75.47982,70.880577,107.533195,84.552879,69.04641
1366.057,88.08979,75.586182,70.882912,107.609375,84.678581,69.076912
1374.484,88.028465,75.672989,70.967232,107.698151,84.871353,69.184296
1382.913,88.069199,75.827972,71.058083,107.641594,84.959366,69.224579
1391.34,88.04792,75.859436,71.118195,107.613312,85.106354,69.28344
1399.769,87.966522,75.93972,71.200096,107.554115,85.245209,69.374756
1408.196,87.850517,76.008835,71.258003,107.442436,85.367615,69.41523
1416.624,87.763741,76.058311,71.249741,107.335304,85.488792,69.496658
1425.053,87.627602,76.040421,71.269653,107.165512,85.562996,69.579506
1433.481,87.539558,76.126205,71.38662,106.993149,85.654358,69.726273
1441.908,87.453682,76.183449,71.461983,106.749168,85.664619,69.768837
1450.337,87.314514,76.223923,71.483902,106.518372,85.730827,69.849197
1458.765,87.088028,76.230606,71.486916,106.300507,85.782066,69.866241
1467.192,86.97921,76.250267,71.547142,106.00177,85.783134,69.926895
1475.621,86.767143,76.269958,71.620682,105.630287,85.724838,69.912209
1484.048,86.591461,76.214134,71.603355,105.360329,85.679337,70.030396
1492.476,86.410957,76.191299,71.610992,105.03418,85.70858,70.104767
1500.904,86.192001,76.201324,71.582748,104.719193,85.643982,70.164223
1509.329,86.012924,76.084366,71.595245,104.3535,85.602661,70.236626
1517.756,85.869743,76.120087,71.663055,104.008415,85.522079,70.241837
1526.184,85.598434,76.049835,71.674141,103.622459,85.415543,70.284149
1534.612,85.370193,76.040916,71.643677,103.264305,85.329193,70.319122
1543.039,85.195267,75.997948,71.613762,102.79261,85.211227,70.250755
1551.468,85.033119,75.939537,71.638771,102.45639,85.128403,70.250511
1559.893,84.763489,75.898415,71.588242,102.070679,85.026176,70.277405
1568.321,84.533974,75.823112,71.568604,101.645866,84.862541,70.302986
1576.749,84.271507,75.782455,71.54628,101.217094,84.711418,70.297745
1585.178,84.031738,75.636856,71.467575,100.831642,84.583076,70.291656
1593.605,83.857132,75.602638,71.485809,100.4394,84.471535,70.285843
1602.031,83.573334,75.471672,71.423576,100.027023,84.249321,70.219864
1610.458,83.39151,75.413033,71.394714,99.581825,84.09346,70.170448
1618.886,83.150307,75.342476,71.401611,99.162926,83.920334,70.071449
1627.314,82.88797,75.222153,71.299141,98.77021,83.771118,70.082062
1635.74,82.664062,75.088448,71.26371,98.327667,83.57592,70.069397
1644.169,82.538254,75.020454,71.197075,97.972801,83.371834,70.027451
1652.597,82.375633,74.876724,71.09227,97.625946,83.234825,69.956505
1661.025,82.244263,74.829285,71.080345,97.346504,83.007118,69.888885
1669.453,82.155579,74.694145,71.091393,97.135002,82.844269,69.899132
1677.881,82.07724,74.643341,70.917274,96.877792,82.63063,69.794891
1686.31,82.04071,74.512672,70.885811,96.762077,82.489754,69.704697
1694.736,82.040649,74.445015,70.822716,96.64537,82.245865,69.647438
1703.163,82.046783,74.32605,70.767433,96.577141,82.086014,69.599457
1711.591,82.062347,74.265991,70.663589,96.585121,81.943794,69.491646
1720.02,82.158249,74.273849,70.694138,96.615242,81.827293,69.405876
1728.446,82.212189,74.125908,70.604141,96.692558,81.643173,69.310471
1736.874,82.26075,74.053925,70.493408,96.800758,81.56794,69.301033
1745.303,82.420197,74.089317,70.530182,96.974945,81.522408,69.227753
1753.73,82.464828,73.955208,70.405205,97.15712,81.463501,69.140884
1762.158,82.62133,73.927856,70.376923,97.33078,81.367905,69.111069
1770.586,82.824608,73.970161,70.379593,97.547806,81.329193,69.077858
1779.015,82.897789,73.940414,70.33609,97.770576,81.281517,69.005653
1787.442,83.060852,73.881798,70.305183,98.063606,81.270935,68.945786
1795.869,83.253464,73.899452,70.265999,98.328285,81.23761,68.873718
1804.298,83.3871,73.925072,70.243721,98.612091,81.260651,68.772049
1812.727,83.593094,73.958145,70.226151,98.946991,81.33033,68.737427
1821.153,83.725502,73.923172,70.188202,99.239677,81.305038,68.683022
1829.581,83.950966,73.951637,70.153412,99.577293,81.371124,68.642746
1838.009,84.140663,73.900803,70.155731,99.959381,81.472198,68.623245
1846.436,84.351097,73.985474,70.145775,100.296921,81.517258,68.59655
1854.861,84.546303,74.002007,70.193031,100.635826,81.560402,68.577568
1863.287,84.724915,74.093597,70.187241,101.06176,81.718842,68.585632
1871.715,84.964981,74.152168,70.164001,101.402565,81.793549,68.519127
1880.143,85.200592,74.175575,70.195442,101.79425,81.899704,68.482689
1888.57,85.398026,74.299004,70.229057,102.198334,82.019012,68.499535
1896.996,85.5783,74.292084,70.248497,102.560425,82.1408,68.533295
1905.425,85.832397,74.37883,70.267883,102.974197,82.274399,68.518341
1913.853,86.02047,74.450027,70.259109,103.373314,82.433037,68.524284
1922.281,86.276474,74.53933,70.315666,103.771614,82.582993,68.558922
1930.71,86.549156,74.669785,70.418671,104.208168,82.765533,68.565613
1939.138,86.656013,74.644279,70.380318,104.580154,82.876617,68.596901
1947.566,86.969048,74.825081,70.488297,104.991013,83.050934,68.603615
1955.994,87.18158,74.8936,70.482811,105.406349,83.204178,68.668343
1964.422,87.436737,74.971222,70.620949,105.826851,83.485123,68.734184
1972.85,87.515198,75.047699,70.62252,106.195183,83.634026,68.76545
1981.277,87.650452,75.130264,70.64505,106.470909,83.780716,68.755524
1989.704,87.776764,75.304909,70.732658,106.824135,84.034691,68.864067
1998.131,87.884956,75.39846,70.844109,107.035629,84.232124,68.969032
2006.558,87.945648,75.494789,70.825645,107.203674,84.395653,69.041473
2014.986,87.993401,75.58461,70.931755,107.289948,84.538254,69.076035
2023.415,87.994789,75.640518,70.956749,107.346931,84.630714,69.083168
2031.843,88.006607,75.756577,71.054718,107.385948,84.806305,69.216949
2040.272,87.966507,75.839355,71.136833,107.383179,84.976051,69.296722
2048.699,87.87793,75.922783,71.168716,107.397888,85.16288,69.469673
2057.127,87.859894,75.975578,71.288437,107.278511,85.279953,69.482361
2065.554,87.738388,75.998421,71.265686,107.213745,85.422447,69.582115
2073.982,87.604904,76.09108,71.343697,107.055634,85.485733,69.5979
2082.407,87.539047,76.166252,71.363884,106.856232,85.538139,69.669518
2090.836,87.421013,76.192764,71.460526,106.661385,85.585854,69.721085
2099.264,87.251877,76.169174,71.452972,106.443924,85.648987,69.761009
2107.692,87.067673,76.192871,71.487442,106.197342,85.624016,69.885735
2116.119,86.987091,76.21804,71.567383,105.962364,85.670189,69.913765
2124.546,86.789894,76.245689,71.601227,105.644524,85.674957,69.980865
2132.975,86.590607,76.204117,71.582565,105.32061,85.633041,70.072624
2141.402,86.434837,76.164513,71.604141,104.974182,85.565292,70.044807
2149.83,86.263283,76.215912,71.608803,104.679817,85.564987,70.068336
2158.257,86.028397,76.159836,71.576088,104.321442,85.523582,70.154182
2166.684,85.883942,76.110657,71.651108,103.958626,85.433899,70.198654
2175.112,85.656845,76.09832,71.600494,103.655296,85.37635,70.278671
2183.541,85.418205,76.046265,71.64949,103.234947,85.259453,70.278549
2191.97,85.219391,75.995918,71.621834,102.865334,85.185066,70.27504
2200.397,84.998802,75.925652,71.557961,102.53891,85.133995,70.328308
2208.823,84.784561,75.869286,71.593246,102.090775,84.978027,70.319824
2217.252,84.60585,75.874519,71.629425,101.739853,84.854576,70.34201
2225.679,84.342346,75.721718,71.580635,101.297562,84.730835,70.315079
2234.107,84.139877,75.697006,71.526581,100.907074,84.59063,70.281555
2242.534,83.848564,75.627068,71.461899,100.470764,84.397224,70.27462
2250.962,83.687523,75.549332,71.438004,100.059875,84.267075,70.293991
2259.389,83.437325,75.442078,71.420334,99.642754,84.111633,70.203278
